Date,Open,High,Low,Close,Volume,Adj Close
2012-11-05,329.0,332.0,325.0,332.0,5904000,332.0
2012-11-06,328.0,336.0,328.0,336.0,10197500,336.0
2012-11-07,331.0,336.0,327.0,328.0,11687500,328.0
2012-11-08,325.0,327.0,312.0,321.0,8287000,321.0
2012-11-09,316.0,318.0,312.0,316.0,5140500,316.0
2012-11-12,315.0,316.0,311.0,312.0,3699500,312.0
2012-11-13,312.0,315.0,308.0,313.0,4596500,313.0
2012-11-14,311.0,311.0,305.0,309.0,4339500,309.0
2012-11-15,312.0,326.0,310.0,325.0,9250000,325.0
2012-11-16,329.0,342.0,328.0,338.0,8816000,338.0
2012-11-19,343.0,345.0,335.0,336.0,5852500,336.0
2012-11-20,341.0,347.0,340.0,343.0,9103500,343.0
2012-11-21,346.0,359.0,346.0,350.0,12287500,350.0
2012-11-22,358.0,359.0,353.0,356.0,6804000,356.0
2012-11-26,362.0,366.0,357.0,357.0,4805500,357.0
2012-11-27,357.0,364.0,355.0,359.0,7103000,359.0
2012-11-28,359.0,359.0,350.0,351.0,6742500,351.0
2012-11-29,355.0,362.0,353.0,357.0,5460000,357.0
2012-11-30,361.0,364.0,355.0,360.0,6614000,360.0
2012-12-03,365.0,371.0,361.0,368.0,6156000,368.0
2012-12-04,364.0,367.0,362.0,364.0,5644000,364.0
2012-12-05,359.0,367.0,359.0,363.0,5316500,363.0
2012-12-06,370.0,375.0,367.0,374.0,10071500,374.0
2012-12-07,373.0,378.0,372.0,375.0,4368500,375.0
2012-12-10,382.0,383.0,372.0,374.0,4650500,374.0
2012-12-11,370.0,372.0,366.0,368.0,4294000,368.0
2012-12-12,371.0,377.0,371.0,374.0,3644500,374.0
2012-12-13,381.0,389.0,380.0,385.0,6050000,385.0
2012-12-14,382.0,385.0,379.0,384.0,8882000,384.0
2012-12-17,392.0,392.0,382.0,385.0,5364500,385.0
2012-12-18,387.0,393.0,385.0,391.0,5099000,391.0
2012-12-19,393.0,402.0,391.0,400.0,8404500,400.0
2012-12-20,401.0,412.0,398.0,407.0,9342000,407.0
2012-12-21,412.0,416.0,399.0,403.0,8593500,403.0
2012-12-25,427.0,427.0,408.0,410.0,7378500,410.0
2012-12-26,412.0,414.0,409.0,413.0,5274500,413.0
2012-12-27,415.0,419.0,413.0,416.0,7009000,416.0
2012-12-28,415.0,427.0,414.0,426.0,10087500,426.0
2013-01-04,441.0,445.0,435.0,445.0,7113500,445.0
2013-01-07,451.0,453.0,434.0,435.0,6821500,435.0
2013-01-08,433.0,433.0,413.0,414.0,13216000,414.0
2013-01-09,408.0,423.0,407.0,417.0,12114500,417.0
2013-01-10,417.0,437.0,417.0,430.0,11026000,430.0
2013-01-11,436.0,441.0,435.0,437.0,9048000,437.0
2013-01-15,440.0,442.0,434.0,439.0,7780000,439.0
2013-01-16,438.0,438.0,423.0,426.0,9433000,426.0
2013-01-17,427.0,428.0,414.0,422.0,11882500,422.0
2013-01-18,431.0,437.0,429.0,435.0,8260500,435.0
2013-01-21,429.0,429.0,417.0,424.0,9121000,424.0
2013-01-22,423.0,423.0,413.0,417.0,16250500,417.0
2013-01-23,411.0,414.0,401.0,402.0,10891500,402.0
2013-01-24,397.0,407.0,393.0,402.0,17332500,402.0
2013-01-25,410.0,425.0,409.0,415.0,14198000,415.0
2013-01-28,418.0,424.0,413.0,414.0,9250500,414.0
2013-01-29,411.0,421.0,410.0,418.0,9197500,418.0
2013-01-30,418.0,424.0,416.0,423.0,7124500,423.0
2013-01-31,422.0,426.0,416.0,424.0,8298500,424.0
2013-02-01,425.0,430.0,419.0,426.0,8955500,426.0
2013-02-04,425.0,432.0,423.0,428.0,6556500,428.0
2013-02-05,420.0,428.0,418.0,422.0,8472000,422.0
2013-02-06,430.0,441.0,427.0,440.0,14751000,440.0
2013-02-07,440.0,446.0,435.0,444.0,11797500,444.0
2013-02-08,438.0,442.0,433.0,437.0,8920000,437.0
2013-02-12,444.0,449.0,442.0,444.0,7887000,444.0
2013-02-13,440.0,446.0,417.0,419.0,15794500,419.0
2013-02-14,419.0,420.0,410.0,415.0,12289000,415.0
2013-02-15,412.0,412.0,397.0,405.0,14993000,405.0
2013-02-18,412.0,416.0,408.0,410.0,8657500,410.0
2013-02-19,406.0,419.0,406.0,409.0,9759500,409.0
2013-02-20,416.0,422.0,413.0,416.0,14725500,416.0
2013-02-21,411.0,417.0,408.0,415.0,11716000,415.0
2013-02-22,410.0,421.0,408.0,421.0,8560500,421.0
2013-02-25,429.0,439.0,427.0,438.0,9686000,438.0
2013-02-26,430.0,437.0,428.0,430.0,9054000,430.0
2013-02-27,432.0,434.0,425.0,430.0,6058000,430.0
2013-02-28,434.0,437.0,429.0,435.0,7806000,435.0
2013-03-01,431.0,432.0,424.0,426.0,6628500,426.0
2013-03-04,427.0,429.0,414.0,417.0,9260000,417.0
2013-03-05,418.0,425.0,417.0,419.0,9302500,419.0
2013-03-06,422.0,423.0,416.0,421.0,6887000,421.0
2013-03-07,424.0,433.0,423.0,428.0,11179500,428.0
2013-03-08,428.0,431.0,425.0,430.0,11665000,430.0
2013-03-11,434.0,454.0,433.0,450.0,13662500,450.0
2013-03-12,454.0,471.0,451.0,463.0,17673000,463.0
2013-03-13,462.0,472.0,458.0,462.0,9702500,462.0
2013-03-14,462.0,464.0,456.0,461.0,7024500,461.0
2013-03-15,462.0,477.0,461.0,476.0,10984500,476.0
2013-03-18,467.0,467.0,457.0,458.0,6307000,458.0
2013-03-19,466.0,478.0,466.0,474.0,5786000,474.0
2013-03-21,478.0,487.0,478.0,479.0,6763500,479.0
2013-03-22,474.0,475.0,461.0,461.0,8164500,461.0
2013-03-25,471.0,472.0,464.0,466.0,5753000,466.0
2013-03-26,462.0,469.0,456.0,465.0,7202000,465.0
2013-03-27,465.0,472.0,453.0,458.0,7472500,458.0
2013-03-28,458.0,458.0,444.0,446.0,6702500,446.0
2013-03-29,446.0,446.0,432.0,435.0,7658000,435.0
2013-04-01,433.0,433.0,425.0,425.0,6095000,425.0
2013-04-02,422.0,422.0,407.0,412.0,7680000,412.0
2013-04-03,415.0,416.0,409.0,413.0,6452000,413.0
2013-04-04,411.0,422.0,399.0,420.0,10412500,420.0
2013-04-05,428.0,435.0,409.0,410.0,13793500,410.0
2013-04-08,421.0,431.0,417.0,425.0,9152000,425.0
2013-04-09,430.0,441.0,429.0,434.0,8510500,434.0
2013-04-10,437.0,456.0,436.0,452.0,10487500,452.0
2013-04-11,460.0,463.0,452.0,461.0,6912000,461.0
2013-04-12,461.0,467.0,454.0,457.0,7067000,457.0
2013-04-15,452.0,456.0,447.0,449.0,6139500,449.0
2013-04-16,441.0,443.0,432.0,434.0,10740000,434.0
2013-04-17,437.0,439.0,431.0,438.0,5592000,438.0
2013-04-18,439.0,445.0,434.0,435.0,7234500,435.0
2013-04-19,436.0,445.0,432.0,442.0,5657500,442.0
2013-04-22,450.0,459.0,449.0,450.0,5984500,450.0
2013-04-23,450.0,451.0,443.0,447.0,7526000,447.0
2013-04-24,448.0,481.0,448.0,478.0,17111500,478.0
2013-04-25,478.0,487.0,471.0,485.0,8889500,485.0
2013-04-26,485.0,485.0,470.0,478.0,5242000,478.0
2013-04-30,476.0,478.0,466.0,474.0,5159000,474.0
2013-05-01,472.0,480.0,466.0,475.0,5437000,475.0
2013-05-02,471.0,472.0,457.0,462.0,7157500,462.0
2013-05-07,479.0,493.0,479.0,485.0,12095500,485.0
2013-05-08,488.0,488.0,480.0,480.0,5894500,480.0
2013-05-09,488.0,497.0,462.0,464.0,16221500,464.0
2013-05-10,480.0,493.0,478.0,488.0,8275000,488.0
2013-05-13,498.0,531.0,498.0,512.0,11201500,512.0
2013-05-14,522.0,525.0,510.0,511.0,5555500,511.0
2013-05-15,518.0,527.0,517.0,523.0,6327500,523.0
2013-05-16,527.0,533.0,514.0,520.0,8332500,520.0
2013-05-17,523.0,528.0,516.0,524.0,5232500,524.0
2013-05-20,531.0,564.0,527.0,553.0,11707000,553.0
2013-05-21,563.0,593.0,563.0,567.0,12884500,567.0
2013-05-22,585.0,593.0,565.0,565.0,9659500,565.0
2013-05-23,573.0,578.0,526.0,530.0,12731000,530.0
2013-05-24,540.0,545.0,508.0,531.0,10239500,531.0
2013-05-27,521.0,531.0,504.0,504.0,8986000,504.0
2013-05-28,499.0,514.0,492.0,507.0,7471000,507.0
2013-05-29,522.0,522.0,506.0,510.0,6503500,510.0
2013-05-30,500.0,510.0,486.0,489.0,9854500,489.0
2013-05-31,492.0,498.0,482.0,489.0,9390000,489.0
2013-06-03,481.0,482.0,463.0,471.0,10213000,471.0
2013-06-04,461.0,477.0,453.0,474.0,8724500,474.0
2013-06-05,470.0,478.0,458.0,460.0,6510000,460.0
2013-06-06,444.0,452.0,428.0,430.0,17683000,430.0
2013-06-07,425.0,442.0,420.0,432.0,12224000,432.0
2013-06-10,450.0,458.0,441.0,457.0,8969500,457.0
2013-06-11,458.0,469.0,454.0,459.0,7969500,459.0
2013-06-12,450.0,453.0,438.0,450.0,8897000,450.0
2013-06-13,440.0,440.0,422.0,422.0,7478500,422.0
2013-06-14,444.0,447.0,435.0,439.0,12378000,439.0
2013-06-17,433.0,451.0,433.0,450.0,6456500,450.0
2013-06-18,449.0,453.0,444.0,447.0,6924000,447.0
2013-06-19,455.0,466.0,451.0,456.0,7023000,456.0
2013-06-20,452.0,459.0,447.0,447.0,5222500,447.0
2013-06-21,437.0,449.0,428.0,445.0,6268000,445.0
2013-06-24,451.0,457.0,435.0,442.0,9856500,442.0
2013-06-25,443.0,445.0,429.0,435.0,7778500,435.0
2013-06-26,446.0,450.0,434.0,435.0,4805500,435.0
2013-06-27,443.0,450.0,437.0,446.0,7583500,446.0
2013-06-28,460.0,476.0,458.0,466.0,8427500,466.0
