,max,min,val_of_30day,max_after_30day,target,length
1393,756.0,714.0,748.0,752.0,1.00534759358,48.0
1394,5350.0,4870.0,5210.0,5350.0,1.02687140115,50.0
1395,810.0,557.0,784.0,810.0,1.0,54.0
1396,3335.0,2322.0,2607.0,3335.0,1.0,92.0
1397,477.0,329.0,356.0,477.0,1.33988764045,93.0
1398,4250.0,2830.0,3270.0,4250.0,1.2996941896,104.0
1399,456.0,377.0,446.0,456.0,1.0,39.0
1400,545.0,460.0,539.0,539.0,1.0,46.0
1401,1978.0,1719.0,1842.0,1842.0,1.0,34.0
1402,525.0,382.0,452.0,525.0,1.0,45.0
1403,710.0,605.0,710.0,710.0,1.0,42.0
1404,2618.0,2232.0,2510.0,2618.0,1.04302788845,57.0
1405,1550.0,1200.0,1354.0,1550.0,1.1447562777,96.0
1406,772.0,665.0,754.0,761.0,1.0,36.0
1407,2345.0,2195.0,2320.0,2337.5,1.00754310345,39.0
1408,602.0,467.0,526.0,602.0,1.14448669202,101.0
1409,845.0,462.0,633.0,845.0,1.0,88.0
1410,1630.0,1210.0,1400.0,1430.0,1.02142857143,39.0
1411,4810.0,2900.0,3120.0,4810.0,1.54166666667,95.0
1412,801.0,630.0,709.0,801.0,1.12976022567,67.0
1413,446.0,367.0,428.0,446.0,1.0,54.0
1414,604.0,518.0,593.0,593.0,1.0,39.0
1415,1259.0,891.0,1240.0,1259.0,1.0,49.0
1416,3050.0,2760.0,3010.0,3020.0,1.00332225914,38.0
1417,1551.0,1421.0,1534.0,1540.0,1.0,39.0
1418,701.0,564.0,701.0,701.0,1.0,48.0
1419,1427.0,1297.0,1427.0,1427.0,1.0,34.0
1420,1369.0,1177.0,1306.0,1369.0,1.0,62.0
1421,471.0,359.0,417.0,471.0,1.0,65.0
1422,818.0,595.0,750.0,818.0,1.0,67.0
1423,2030.0,1729.5,1871.5,2030.0,1.08469142399,68.0
1424,500.0,469.0,477.0,481.0,1.0,34.0
1425,1117.0,1062.5,1097.0,1111.0,1.0127620784,35.0
1426,486.0,402.0,435.0,486.0,1.0,62.0
1427,2709.0,2139.0,2709.0,2709.0,1.0,47.0
1428,1314.5,1150.0,1256.0,1314.5,1.04657643312,51.0
1429,1106.0,897.0,1044.0,1061.0,1.0162835249,40.0
1430,3110.0,2480.0,2800.0,3110.0,1.11071428571,43.0
1431,175.0,126.0,152.0,175.0,1.15131578947,81.0
1432,4992.0,4145.0,4460.0,4992.0,1.11928251121,96.0
1433,853.0,430.0,628.0,853.0,1.0,72.0
1434,139.0,118.0,139.0,139.0,1.0,41.0
1435,83.0,70.0,76.0,83.0,1.0,69.0
1436,1832.0,1724.0,1786.0,1830.0,1.0,36.0
1437,349.0,302.0,312.0,312.0,1.0,32.0
1438,307.0,299.0,301.0,301.0,1.0,31.0
1439,963.0,852.0,936.0,950.0,1.01495726496,45.0
1440,2045.0,1712.0,1911.0,1923.0,1.00627943485,44.0
1441,2363.0,2138.0,2355.0,2363.0,1.0033970276,64.0
1442,1050.0,925.0,1015.0,1050.0,1.0,57.0
1443,2040.0,1827.5,2015.0,2015.0,1.0,36.0
1444,2507.0,1464.0,1750.0,2507.0,1.43257142857,132.0
1445,1544.0,1250.0,1400.0,1544.0,1.10285714286,73.0
1446,269.0,150.0,187.0,269.0,1.0,94.0
1447,641.0,460.0,532.0,641.0,1.20488721805,69.0
1448,552.0,512.0,530.0,552.0,1.0,43.0
1449,1101.0,887.0,1044.0,1046.0,1.00191570881,35.0
1450,434.0,397.0,421.0,421.0,1.0,32.0
1451,2822.0,2545.0,2729.0,2822.0,1.034078417,40.0
1452,210.0,175.0,192.0,199.0,1.0,39.0
1453,1156.0,1075.0,1137.0,1137.0,1.0,36.0
1454,377.0,346.0,372.5,377.0,1.01208053691,40.0
1455,480.0,410.6,451.1,451.1,1.0,34.0
1456,3970.0,3550.0,3705.0,3705.0,1.0,31.0
1457,799.5,645.6,733.2,799.5,1.09042553191,67.0
1458,1034.0,924.8,937.8,1034.0,1.10258050757,58.0
1459,9220.0,6190.0,7240.0,9220.0,1.0,97.0
1460,3055.0,2509.0,2888.0,3055.0,1.05782548476,54.0
1461,404.3,331.0,389.3,392.7,1.00873362445,39.0
1462,773.0,656.0,706.0,773.0,1.0,68.0
1463,456.0,359.0,410.0,448.0,1.0,45.0
1464,428.0,343.0,420.0,428.0,1.0,60.0
1465,1585.0,475.0,710.0,1585.0,2.2323943662,100.0
1466,215.0,185.0,202.0,215.0,1.0,46.0
1467,575.0,510.0,545.0,575.0,1.05504587156,55.0
1468,2027.0,1570.0,1987.0,2027.0,1.02013085053,61.0
1469,2184.0,2026.0,2131.0,2147.0,1.00750821211,36.0
1470,597.0,468.0,588.0,597.0,1.0,49.0
1471,475.0,405.0,471.0,475.0,1.0,39.0
1472,1944.0,1746.0,1868.0,1931.0,1.03372591006,46.0
1473,1441.0,1249.0,1310.0,1441.0,1.0,45.0
1474,719.0,544.0,631.0,719.0,1.0,50.0
